# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
4867	nikon		n. 尼康牌照相机
4868	customize	kʌstәmaiz	vt. 定制, 按规格改制, 定做
4869	tradition	trә'diʃәn	n. 传说, 传统, 交付；[法] 传统, 惯例, 移交
4870	candy	'kændi	n. 糖果, 冰糖；vt. 用糖煮, 使结晶为砂糖；vi. 结晶为砂糖
4871	pills		n. 丸剂；药丸（pill的复数）
4872	tiger	'taigә	n. 老虎, 虎, 凶暴的人
4873	donald	'dɔnәld	n. 唐纳德（男子名）
4874	folks		n. 人们, 父母, 亲人, 家属
4875	sensor	'sensә	n. 传感器
4876	exposed	ik'spәuzd	a. 暴露的, 无掩蔽的, 易受攻击的
4877	telecom	'telәkɔm	telecommunication 电信
4878	hunt	hʌnt	n. 狩猎, 追捕, 搜寻, 猎区；vt. 狩猎, 打猎, 搜索；vi. 打猎, 猎食, 搜寻
4879	angels	'eindʒәls	n. 天使投资人；天使（angel的复数形式）
4880	deputy	'depjuti	n. 副手，代理人
4881	indicators	'ɪndɪkeɪtəz	n. （仪器上显示温度、压力、耗油量等的）指针( indicator的复数形式 ); 指示物; （车辆上的）转弯指示灯; 指示信号
4882	sealed	si:ld	a. 未知的, 密封的；[法] 盖印的, 经盖章批准或证实的, 密封的
4883	thai	tai	n. 泰国人, 泰语
4884	emissions	ɪˈmɪʃənz	n. 排放物( emission的复数形式 ); 散发物（尤指气体）
4885	physicians	fɪ'zɪʃnz	n. 医生, 内科医生( physician的复数形式 )
4886	loaded	'lәudid	a. 有负载的, 有含蓄的, 加重的, 不公正的, 偏袒的, 喝醉了的, 富有的
4887	fred	fred	n. 佛瑞德（男子名）
4888	complaint	kәm'pleint	n. 诉苦, 抱怨, 控诉；[医] 陈诉; 病
4889	scenes		n. 现场, 景色；场景（scene的复数）
4890	experiments	iksˈperimənts	n. 实验( experiment的名词复数 ); 试验; 尝试; 实践
4891	balls		n. 胡说八道
4892	afghanistan	æf'gænistæn	n. 阿富汗
4893	dd		神学博士
4894	boost	bu:st	n. 推进, 吹捧；vt. 推进, 提高, 宣扬, 促进
4895	spanking	'spæŋkiŋ	a. 清爽的, 疾行的, 强烈的；adv. 显著地；n. 拍击, 打屁股
4896	scholarship	'skɒlәʃip	n. 学问, 学术成就, 奖学金
4897	governance	'gʌvәnәns	n. 统治, 统辖, 管理；[法] 统治, 管理, 支配
4898	mill	mil	n. 压榨机, 磨坊, 制造厂；vt. 碾磨, 磨细, 搅拌, 使乱转；vi. 乱转, 被碾磨
4899	founded	'faundid	a. 有基础的；v. 创办, 成立(found的过去式和过去分词)
4900	supplements		n. 补充品；增补物；补脉（supplement的复数）
4901	chronic	'krɒnik	a. 慢性的, 习惯性的；n. 慢性病患者
4902	icons		abbr. 核标准情报中心[美]（Information Center on Nuclear Standards）
4903	tranny	'træni	n. 半导体收音机；晶体管收音机
4904	moral	'mɒrәl	n. 道德, 品行, 寓意；a. 道德的, 品性端正的, 精神上的
4905	den	den	n. 兽穴, 洞穴；[法] 匪巢, 贼窝
4906	catering	'keitәriŋ	n. 给养；承办酒席；[医]提供饮食及服务
4907	aud		abbr. 审计（audit）；听者（auditor）
4908	finger	'fiŋgә	n. 手指, 指状物, (手套的)手指部分, 指针；v. 用手指拨弄, 伸出
4909	keeps		n. 罐笼座；盖子（keep的复数形式）
4910	pound	paund	n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏；vt. 强烈打击, 捣烂, 监禁, 关入栏内；vi. 连续重击, 苦干
4911	locate	'lәukeit	vt. 找出, 设于, 位于；vi. 定居
4912	camcorder	kæm'kɔ:dә	n. 摄录像机；便携式摄像机
4913	pl		[化] 磷脂
4914	trained	treind	a. 训练过的, 受过培训的；培训
4915	burn	bә:n	vt. 烧, 烧毁, 烧伤；vi. 燃烧, 发热, 烧毁；n. 烧伤, 烙印
4916	implementing		n. 实现；实施, 执行
4917	roses		n. 玫瑰（rose的复数）
4918	labs	læbs	n. 实验室
4919	ourselves	.auә'selvz	pron. 我们自己
4920	bread	bred	n. 面包, 生计, 食物；vt. 裹以面包屑
4921	tobacco	tә'bækәu	n. 烟草, 香烟；[医] 烟草
4922	wooden	'wudn	a. 木制的, 呆笨的, 木然的
4923	motors		n. 汽车公司证券；汽车；发动机（motor的复数）
4924	tough	tʌf	n. 恶棍；a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的
4925	roberts	'rɔbәts	n. 罗伯茨（姓氏）
4926	incident	'insidәnt	n. 事件, 事变, 小事；a. 附带的, 易于发生的, 外来的, 入射的
4927	gonna	'ɡɔnә	abbr. （美）将要（等于going to）
4928	dynamics	dai'næmiks	n. 动力学；[化] 动力学
4929	lie	lai	n. 谎言, 假象, 位置；vi. 躺着, 说谎, 位于, 展现, 存在, 停泊；vt. 谎骗
4930	crm		反雷达措施, 反雷达导弹
4931	rf		射频, 测距计, 测远仪
4932	conversation	.kɒnvә'seiʃәn	n. 会话, 说话, 交谈；[法] 交谈, 社交, 性交
4933	decrease	'di:kri:s	n. 减少, 减少量；v. 减少
4934	cumshots		[未收录]
4935	chest	tʃest	n. 胸, 胸部, 衣柜, 箱子；[医] 胸, 胸廓
4936	pension	'penʃәn	n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费；vt. 发给退休金, 用津贴拉拢
4937	billy	'bili	n. 警棍, 伙伴
4938	revenues	'revənju:z	n. 收入( revenue的复数形式 ); [复数]总收入; 收入来源; 税务局
4939	emerging		[法] 出现的, 发生的, 形成的
4940	worship	'wә:ʃip	n. 崇拜, 礼拜, 尊敬；vi. 参加礼拜；vt. 崇拜, 尊敬
4941	bukkake		1. noun Variety of fetish that involves repeated ejaculation on a female by many (8 will do) men.；2. verb  To ejaculate on something, especially repeatedly；> 1. I think you have a future in bukkake vi…
4942	capability	.keipә'biliti	n. 能力, 性能, 约束力；[化] 能力
4943	ak		n a state in northwestern North America; the 49th state admitted to the union
4944	fe		[医] 铁(26号元素)
4945	craig	krei^	n. 克雷格（男子名）
4946	herself	hә:'self	pron. 她自己, 她亲自
4947	producing	prә'dju:siŋ	a. 生产的
4948	churches	tʃə:tʃiz	n. （基督教的）教堂( church的名词复数 ); 礼拜仪式; 教派; 基督教牧师
4949	precision	pri'siʒәn	n. 精密, 精确, 精确度, 精度；a. 精密的, 精确的
4950	damages		n. 赔偿金；[经] 损害赔偿; 伤害
4951	reserves		n. 储量, 后备队；[经] 准备金
4952	contributed		a. 已缴入的；贡献的, 分配的
4953	solve	sɒlv	vt. 解决, 付给, 溶解；vt. 求解；vi. 求解
4954	shorts	ʃɔ:ts	n. 短裤, (美)男人的短衬裤；[经] 空头户, 空头, 短期债券
4955	reproduction	.ri:prә'dʌkʃәn	n. 再现, 复制, 生殖, 繁殖, 复制品；[医] 生殖, 复现(心理)
4956	minority	mai'nɒriti	n. 少数, 未成年, 少数民族；a. 少数的, 属于少数派的
4957	td		abbr. （美）财政部（Treasury Department）；任务说明书（Task Description）；反坦克自行火炮（Tank Destroyer）
4958	diverse	dai'vә:s	a. 不同的, 变化多的
4959	amp	æmp	n. 安培；[化] 腺苷酸; 腺苷一磷酸
4960	ingredients		材料；作料
4961	sb		[医] 锑(51号元素)
4962	ah	ɑ:	interj. 啊, 哈
4963	johnny	'dʒɒni	n. 男人, 家伙
4964	sole	sәul	n. 脚掌, 鞋底, 底部；a. 唯一的, 仅有的, 单独的, 独身的；vt. 上鞋底, 触底
4965	franchise	'fræntʃaiz	n. 公民权, 特权, 特许经营权, 免赔额；vt. 给以特权, 给以...公民权
4966	recorder	ri'kɒ:dә	n. 记录员, 录音机；n. 记录器
4967	complaints	kəm'pleɪnts	n. 抱怨( complaint的复数形式 ); 诉苦; 投诉; 疾病
4968	facing	'feisiŋ	n. 贴边, 饰面；[化] 衬片; 盖面; 铺面; 饰面; 贴面; 密封面
4969	sm		理科硕士
4970	nancy	'nænsi	n. 女性化的男人；a. 女性化的, 同性恋的
4971	promotions		n. 促销；升职（promotion复数）
4972	tones		n. 声调；基本音色（tone的复数）
4973	passion	'pæʃәn	n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)
4974	rehabilitation	'ri:(h)ә,bili'teiʃәn	n. 复原；[医] 复原, 恢复, 康复
4975	maintaining		[化] 维护; 保养
4976	sight	sait	n. 景观, 视力, 眼界, 阅读, 见解, 意见；vt. 看见, 瞄准；vi. 瞄准, 观看；a. 即席的, 见票即付的
4977	laid	leid	lay的过去式和过去分词
4978	clay	klei	n. 泥土, 肉体, 黏土；[化] 粘土
4979	defence	di'fens	n. 防卫, 防卫设备；[经] (诉讼程序中的)辩护
4980	patches		n. 修补程序；补丁；斑块（patch的复数）
4981	weak	wi:k	a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的；[经] 疲软的
4982	refund	'ri:fʌnd	n. 偿还；vt. 付还, 偿还借款；vi. 归还, 偿还
4983	usc		abbr. 超声波清洗（Ultra Sonic Cleaning）；联合海运公司（United Shipping Company）；美国国会（United States Congress）
4984	towns		n. 汤斯
4985	environments		n. 环境；生态环境
4986	trembl		[未收录]
4987	divided	dә'vaidid	a. 分开的
4988	blvd		n. 大马路；林荫道
4989	reception	ri'sepʃәn	n. 接待, 接受, 招待会；[医] 接受, 感受
4990	amd		abbr. 超微半导体公司（Advanced Micro Devices）
4991	wise	waiz	a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的；vi. 知道；vt. 教导, 告诉, 劝导；n. 方法, 方式
4992	emails	'iːmeɪl	n. 电子信函；vt. 给…发电子邮件；n. (Email)人名；(法)埃马伊
4993	cyprus	'saiprәs	n. 塞浦路斯；[经] 赛浦路斯
4994	wv		abbr. 工作电压（Working Voltage）；西弗吉尼亚（West Virginia）
4995	odds	ɒdz	n. 可能性, 几率, 机会, 胜算, 不平等
4996	correctly	kә'rektli	adv. 对, 正确, 恰当, 符合一般性准则, 符合行为准则, 端正, 符合
4997	insider	'in'saidә	n. 内部的人, 权威人士, 知道内情的人；[经] 熟悉内情者
4998	seminars	'semɪnɑ:z	n. 研讨班( seminar的复数形式 ); 研讨小组; 研讨会; 培训会
4999	consequences	ˈkɔnsikwənsiz	n. 重要（性）( consequence的复数形式 ); 结果; 重要地位; 因果关系
5000	makers		n. 迈克（美国一家公司）
5001	hearts		n. 心；中心；内心；同情心；心形物（heart的复数）
5002	geography	dʒi'ɒgrәfi	n. 地理学, 地理；[医] 地理
5003	appearing		n. 版面高度
5004	integrity	in'tegriti	n. 正直, 廉正, 完整
5005	worry	'wʌri	n. 担心, 烦恼, 忧虑, 苦恼, 撕咬；vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬；vi. 烦恼, 担心, 撕咬
5006	ns		n a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues；n the cardina…
5007	discrimination	dis.krimi'neiʃәn	n. 差别, 岐视, 辨别力；[化] 鉴别
5008	eve	i:v	n. 前夕, 前夜
5009	carter	'kɑ:tә	n. 运货马车夫
5010	legacy	'legәsi	n. 祖先传下来之物, 遗赠物；[经] 遗产, 遗赠物
5011	marc	mɑ:k	n. 榨渣； 机读目录
5012	pleased	pli:zd	a. 高兴的, 喜欢的, 满足的
5013	danger	'deindʒә	n. 危险, 威胁；[法] 危险, 危险物, 危机
5014	vitamin	'vaitәmin	n. 维生素；[化] 维生素
5015	widely	'waidli	adv. 广泛地
5016	processed		a. 处理的, 加工过的
5017	phrase	freiz	n. 惯用语, 词组, 成语, 措词, 乐句；vt. 用短语表达, 把(乐曲)分成短句
5018	genuine	'dʒenjuin	a. 真正的, 真实的, 诚恳的；[医] 真性的
5019	raising	'reiziŋ	[机] 起油
5020	implications		n. 蕴涵式；卷入（implication的复数）
5021	functionality	,fʌŋkәʃә'næliti	[化] 官能度
5022	paradise	'pærәdais	n. 天堂, 乐园, 伊甸园
5023	hybrid	'haibrid	n. 混血儿, 杂种, 混合物；a. 混合的, 杂种的, 混合语的
5024	reads	ri:dz	v. 读, 看懂, 理解( read的第三人称单数 ); 显示, 标明
5025	roles		n. 人物；角色；任务, 作用（role的复数形式）
5026	intermediate	.intә'mi:diәt	n. 中间物, 调停者, 中级；a. 中间的, 中级的；vi. 起媒介作用
5027	emotional	i'mәuʃәnәl	a. 情绪的, 情感的；[医] 情绪的
5028	sons		n. 儿子们（son的复数）；子弟
5029	leaf	li:f	n. 叶, 树叶, 花瓣, 页；vi. 生叶, 翻书页；vt. 在...上长叶, 翻...的页
5030	pad	pæd	n. 填补, 衬垫, 印色盒, 路；vt. 填补, 走, 夸大；vi. 步行； 包装配/拆卸
5031	glory	'glɒ:ri	n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣；vi. 自豪
5032	platforms	p'lætfɔ:mz	n. 台( platform的复数形式 ); 站台; （公开表达意见或在某方面发展的）机会; 纲领
5033	ja	jɑ:	数人共有的银行存款帐户, 联合代理人, 军法官, 军法检查官
5034	bigger		a. 更大的（big的比较级）
5035	billing	'biliŋ	n. 节目次序, 广告；[经] 开票(发票,帐单)
5036	diesel	'di:zәl	n. 内燃机, 柴油机, 柴油
5037	versus	'vә:sәs	prep. 对...；[法] 诉, 对, 相形
5038	combine	kәm'bain	v. (使)联合, (使)结合；n. (企业的)联合, 联合收割机
5039	overnight	'әuvәnait	n. 前一天晚上, 一夜的逗留；a. 通宵的, 晚上的, 前夜的；adv. 在前一夜, 整夜, 昨晚一晚上
5040	geographic	,dʒiә'^ræfik	a. 地理(学)的, 地区(性)的
5041	exceed	ik'si:d	vt. 超过, 超越, 胜过；vi. 超过其他
5042	bs		理学士
5043	rod	rɒd	n. 竿, 笞鞭, 小枝；[化] 棒
5044	saudi	'sajdi	a. 沙乌地阿拉伯（人或语）的
5045	fault	fɒ:lt	n. 过错, 故障, 毛病；vt. 挑剔；vi. 产生断层, 弄错
5046	cuba	'kju:bә	n. 古巴
5047	hrs		abbr. 高分辨率光谱仪（High Resolution Spectrometer）
5048	preliminary	pri'liminәri	n. 初步做法, 初步措施, 预试, 预选赛；a. 初步的, 开始的, 预备的
5049	districts	ˈdistrikts	n. 地区( district的名词复数 ); （为行政、司法、选举、教育等目的而划分的国家、州或县的）区; 选区; 英国教区的分区
5050	introduce	.intrә'dju:s	vt. 介绍, 引入, 采用, 输入；[法] 引进, 输入, 介绍
5051	silk	silk	n. 丝, 绸, 绸锻类, 丝织品；a. 丝的, 丝织的
5052	promotional	prәu'mәuʃәnl	a. 增进的
5053	kate	keit	n. 凯特（女子名, 等于Catherine）
5054	chevrolet	'ʃevrәulei	n. 美国雪佛兰牌汽车
5055	babies		n. 婴儿（baby的复数）
5056	bi	bai	[医] 铋(83号元素)
5057	karen	'kɑ:rәn	n. 凯伦（人名）；克伦邦（缅甸邦名）
5058	compiled		a. 编译的
5059	romantic	rәu'mæntik	a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的
5060	revealed		v. 透露（reveal的过去式）；显示
5061	specialists		n. 特种经纪人；专科医生；专家（specialist的复数）
5062	generator	'dʒenәreitә	n. 产生器, 发电机, 生产者
5063	albert	'ælbәt	n. 艾伯特（男子名）
5064	examine	ig'zæmin	v. 检查, 调查, 考试
5065	jimmy	'dʒimi	n. 铁撬；vt. 撬
5066	graham	'ɡreiәm	a. 全麦的；粗面粉的；全麦粉制成的
5067	suspension	sә'spenʃәn	n. 悬挂, 暂停, 中止；[化] 悬浮; 悬浮体; 悬浮液
5068	bristol	'bristәl	n. 布里斯托尔(英国西部港口)
5069	margaret	'mɑ:^әrit	n. 玛格利特（女子名）
5070	compaq		美国康柏电脑公司
5071	sad	sæd	a. 忧愁的, 悲哀的
5072	correction	kә'rekʃәn	n. 订正, 改正, 改正的地方；[化] 校正
5073	wolf	wulf	n. 狼, 残忍贪婪之人, 极度穷困；vt. 狼吞虎咽, 大吃
5074	slowly	'slәuli	adv. 慢慢地, 迟缓地
5075	authentication	ɒ:θenti'keiʃәn	n. 证明可信, 证实为真, 使具法律效力
5076	communicate	kә'mju:nikeit	vt. 显露, 传达, 感染；vi. 通讯
5077	rugby	'rʌ^bi	n. 橄榄球, 橄榄球赛
5078	supplement	'sʌplimәnt	n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角；vt. 补充, 增补
5079	showtimes		[未收录]
5080	cal	kæl	[化] 计算机辅助学习
5081	portions	ˈpɔ:ʃənz	n. 一部分( portion的名词复数 ); 一份遗产（或赠与的财产）; 分享的部份; 嫁妆
5082	infant	'infәnt	n. 婴儿, 儿童, 初学者；a. 婴儿的, 幼稚的
5083	promoting	prəˈməutɪŋ	v. <正>促进( promote的现在分词 ); 提升; 推销; 使 （学生）升级
5084	sectors		n. 分区；部门；扇区数（sector的复数）
5085	samuel	'sæmjuәl	n. 撒母耳（希伯来先知）；塞缪尔（男子名）
5086	fluid	'flu:id	n. 液体, 分泌液, 流体；a. 流动的, 可改变的
5087	grounds		n. 场地, 庭院, 理由, 渣滓, 沉淀物
5088	fits		n. 合身的衣服；阵发；一阵（fit的复数）
5089	kick	kik	n. 踢, 反冲, 后座力, 凹底；vi. 踢, 反抗, 反冲；vt. 踢, 反冲
5090	regards		n. 问候, 致意
5091	meal	mi:l	n. 一餐, 膳食, 粗粉；vi. 进餐
5092	ta	tɑ:	interj. 谢谢
5093	hurt	hә:t	n. 伤害, 创伤, 损害；v. 伤害, (使)伤心, 危害, 刺痛
5094	machinery	mә'ʃi:nәri	n. 机器, 机械装置, 机构；[化] 机械
5095	bandwidth	'bændwidθ	n. 频带宽度, 通带宽度
5096	unlike	.ʌn'laik	a. 不像的, 不同的；prep. 不像, 和...不同
5097	equation	i'kweiʃәn	n. 相等, 等式, 平衡；[化] 方程式; 等式; 反应式; 公式
5098	baskets		n. 篮子（basket的复数）
5099	probability	.prɒbә'biliti	n. 可能性, 或然率, 几率, 概率；[化] 概率; 几率
5100	pot	pɒt	n. 盆, 罐, 壶, 坩埚, 奖杯；vt. 装入盆中, 在锅中煮, 随手射击；vi. 随手射击
5101	dimension	dai'menʃәn	n. 尺寸, 次元, 面积, 维数；vt. 标出尺寸
5102	wright	rait	n. 制作者, 工人
5103	img		abbr. 美国国际管理集团（International Management Group）
5104	barry	'bæri	n. 巴里（男子名）
5105	proven	'pru:vn	prove的过去分词
5106	schedules		n. 时间表；待办事项；日程安排（schedule的复数形式）
5107	admissions	əd'mɪʃnz	n. 准许进入( admission的复数形式 ); 入场费; 入场券; 承认
5108	cached	kæʃt	v. 贮藏起来；隐藏起来（cache 的过去分词形式）
5109	warren	'wɒrәn	n. 养兔场, 拥挤的地区
5110	slip	slip	n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人；vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏；vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝；a. 滑动的, 滑移的, 活络的, 有活结的
5111	studied	'stʌdid	a. 有计划的, 慎重的
5112	reviewer	ri'vju:ә(r)	n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家
5113	involves		v. 包含；牵涉（involve的第三人称单数形式）
5114	quarterly	'kwɔ:tәli	a. 季度的, 按季度的, 每季的；adv. 按季, 每三个月, 每季一次；n. 季刊
5115	rpm		n. 每分钟转数；[电] 转/每分
5116	profits		n. 收益, 红利；盈利（profit的复数）
5117	devil	'devәl	n. 魔鬼；vt. 折磨, 戏弄
5118	grass	græs	n. 草, 草原, 牧场；[医] 草, 禾本
5119	comply	kәm'plai	vi. 顺从, 依从；[法] 遵守, 承诺, 照做
5120	marie	'mɑ:ri(:), mә'ri:	n. 玛丽（女子名）
5121	florist	'flɒrist	n. 花匠, 花商, 花卉研究者
5122	illustrated	'ilәstreitid	n. 有插画的报章杂志
5123	cherry	'tʃeri	n. 樱桃, 樱桃树, 樱桃色；[医] 樱桃
5124	continental	.kɒnti'nentl	a. 大陆的, 洲的；n. 欧洲大陆人
5125	alternate	'ɒ:ltәnәt	a. 交替的, 轮流的, 间隔的；v. 轮流, (使)交替
5126	deutsch	dɔitʃ	a. 德国的
5127	achievement	ә'tʃi:vmәnt	n. 完成, 成就, 功业
5128	limitations		n. 局限性；（限制）因素；边界（limitation的复数形式）
5129	kenya	'kenjә	n. 肯尼亚
5130	webcam	'webkæm	n. 网络摄像头
5131	cuts		n. （分摊到的）份额；切口；近路（cut的复数）
5132	funeral	'fju:nәrәl	n. 葬礼, 出殡
5133	nutten		[未收录]
5134	earrings		n. 耳环；耳饰（earring的复数）
5135	enjoyed	ɪn'dʒɔɪd	v. 享有（ enjoy的过去式和过去分词 ）; 玩得快乐; 喜欢
5136	automated		a. 自动化的；机械化的
5137	chapters		n. 章；回；章节（chapter的复数形式）
5138	pee	pi:	n. (英)便士, 小便；vi. 小便
5139	charlie		n. 通讯中用以代表字母C的词
5140	quebec	kwi'bek	n. 魁北克（加拿大港市省名）
5141	nipples	ˈnɪpəlz	n. 乳头( nipple的复数形式 ); <美>（奶品的）橡皮奶头; （机器上的）乳头状注油口; 加油嘴
5142	passenger	'pæsindʒә	n. 乘客, 旅客；[经] 乘客, 旅客
5143	convenient	kәn'vi:njәnt	a. 方便的, 合宜的；[法] 适当的, 合理而可行的, 方便的
5144	dennis	'denis	n. 丹尼斯（男子名）
5145	mars	mɑ:z	n. 火星, 战神；[医] 铁
5146	francis	'frɑ:nsis	n. 弗朗西斯（男子名, 义为自由之人）
5147	tvs		abbr. 瞬变电压抑制二极管（Transient Voltage Suppressors）；电视观察系统（Television Viewing Systems）
5148	sized	'saizd	a. 依大小排列的, 依大小调整的, 型号的, ...尺码的
5149	manga	'mæŋɡә	n. 日本漫画
5150	noticed	'nəʊtɪst	v. 注意（ notice的过去式和过去分词 ）; 觉察
5151	socket	'sɒkit	n. 窝, 穴, 插座, 眼窝；vt. 插进插座
5152	silent	'sailәnt	a. 沉默的, 安静的, 无声的, 静止的；[医] 静止的, 无症状的
5153	literary	'litәrәri	a. 文学的, 文艺的, 精通文学的；[法] 文学的, 从事文学的, 从事写作的
5154	egg	eg	n. 蛋, 卵；vt. 挑唆, 煽动, 调蛋黄
5155	mhz		n one million periods per second
5156	signals	ˈsiɡnəlz	n. 信号( signal的名词复数 ); （无线电或电视所传送的）讯号; 标志; （尤指铁路和公路上的）指示灯；v. 发信号, 用信号传达, 用信号通讯( signal的第三人称单数 ); 发暗号; 示意
5157	caps		abbr. 盒式磁带程序设计系统（Cassette Programming System）；计算机辅助产品检索（Computer Assisted Product Search）
5158	orientation	.ɒ:rien'teiʃәn	n. 定方位, 适应, 向东方；n. 方向
5159	pill	pil	n. 药丸, 弹丸, 屈辱, 胡说；v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫
5160	theft	θeft	n. 盗窃, 失窃, 盗窃罪, 赃物；[法] 盗窃行为, 偷窃, 失窃
5161	childhood	'tʃaildhud	n. 孩童时期；[医] 儿童期
5162	swing	swiŋ	n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由；vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向；vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运；a. 旋转的, 悬挂的, 强节奏爵士音乐的
5163	symbols		n. 符号；象征；标志；符号表（symbol的复数）
5164	lat	læt	n. 拉特(拉脱维亚货币单位)
5165	meta		
5166	humans		n. 人类（human的复数形式）
5167	analog	'ænәlɔ^	n something having the property of being analogous to something else；a of a circuit or device having an output that is proportional to the input
5168	facial	'feiʃәl	n. 美颜, 脸部按摩；a. 脸的, 表面的, 脸部用的
5169	choosing		v. 选择；决定（choose的ing形式）
5170	talent	'tælәnt	n. 天才, 才能, 有才干的人, 天资
5171	dated	'deitid	a. 有日期的, 陈旧的
5172	flexibility	.fleksi'biliti	n. 弹性, 适应性； 适应性
5173	seeker	'si:kә	n. 搜索者, 探求者；[法] 搜索人, 搜查人
5174	wisdom	'wizdәm	n. 智慧, 明智行为, 学识, 名言, 贤人
5175	shoot	ʃu:t	n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费；vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射；vi. 射出, 射击, 发出, 拍电影, 射门, 发芽
5176	boundary	'baundri	n. 边界, 分界线
5177	mint	mint	n. 薄荷, 造币厂, 巨额；vt. 铸造, 铸币, 制造
5178	packard		n. 帕卡德（姓氏）
5179	offset	'ɒ:fset	n. 抵消, 把...并列, 旁系, 支管, 用胶印法印；vt. 弥补, 抵消, 胶印；vi. 装支管；n. 偏移量
5180	payday		n. 发薪日, 发工资日, 交割日, 过户结帐日；[法] 发薪日
5181	philip	'filip	n. 菲利普（男子名）
5182	elite	ei'li:t	n. 精华, 精锐, 中坚分子
5183	gi	dʒi: 'ai	a. 军用的；美国军人的
5184	spin	spin	n. 旋转, 自旋, 疾驰, 情绪低落；vt. 纺织, 纺, 使旋转, 编造；vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰
5185	holders		n. 持有人（holder的复数）
5186	believes		v. 信仰；相信；认为（believe的三单形式）
5187	swedish	'swi:diʃ	n. 瑞典人, 瑞典语；a. 瑞典的, 瑞典人的, 瑞典语的
5188	poems		n. 诗歌, 诗集（poem复数形式）
5189	deadline	'dedlain	n. 最后期限, 截止期限；[经] 截止日期
5190	jurisdiction	.dʒuәris'dikʃәn	n. 司法权, 审判权, 管辖权；[经] 法律管辖权, 审判权
5191	robot	'rәubәt	n. 机械人, 自动机械, 机械般工作的人； 自动机
5192	displaying		v. 展出；使展现；显示（display的现在分词形式）
5193	witness	'witnis	n. 证人, 目击者, 证据, 证词；vt. 目击, 作证, 证明, 表明；vi. 作证人, 作为证据
5194	collins	'kɒlinz	n. 柯林斯酒
5195	equipped		v. 装备；整装；预备（equip的过去分词）
5196	stages		n. 戏剧表演；舞台；阶段（stage的复数）
5197	encouraged		a. 受到鼓舞的
5198	sur	s\\\\:(r)	[法] 根据
5199	winds	'waɪndz	n. 风( wind的名词复数 ); 呼吸; （随食物或饮料）吞下的气; （管弦乐团的）管乐器；v. 缠绕( wind的第三人称单数 ); 卷绕; 转动（把手）; 给…上发条
5200	powder	'paudә	n. 粉, 粉末, 火药；vt. 搽粉于, 搽粉, 撒粉, 使成粉末；vi. 搽粉, 变成粉末
5201	broadway	'brɒ:dwei	n. 百老汇大街
5202	acquired	ә'kwaiәd	a. 获得的, 后天的；[医] 获得的, 后天的
5203	assess	ә'ses	vt. 估定, 对...征税, 评定；[经] 估计, 估价, 确定(税款罚款等)的金额
5204	wash	wɒʃ	n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地；vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于；vi. 洗涤, 洗澡, 被冲蚀, 漂浮
5205	cartridges	'kɑ:trɪdʒɪz	n. 子弹( cartridge的复数形式 ); （打印机的）墨盒; 录音带盒; （唱机的）唱头
5206	stones		n. 小石头；石子（stone的复数）
5207	entrance	'entrәns	n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任；vt. 使出神, 使入迷
5208	gnome	nәum	n. 格言, 箴言, 侏儒, 土地神
5209	roots		n. 乡土感情, 归根之情
5210	declaration	.deklә'reiʃәn	n. 宣告, 说明, 宣布
5211	losing	'lu:ziŋ	a. 损失的, 输的；n. 失败, 损失
5212	attempts		n. 企图, 试图；尝试（attempt的复数）；v. 试图；努力去做（attempt的三单形式）
5213	gadgets		n. 小配件；小工具（gadget的复数）
